Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.8	0.743144825	12.42285714	10.4	18.71572413	14.5	0	500
0.804	0.745941145	12.43428571	10.4	18.72970573	14.5	0	500
0.808	0.748724377	12.44571429	10.4	18.74362189	14.5	0	500
0.812	0.751494472	12.45714286	10.4	18.75747236	14.5	0	500
0.816	0.754251381	12.46857143	10.4	18.7712569	14.5	0	500
0.82	0.756995056	12.48	10.4	18.78497528	14.5	0	500
0.824	0.759725448	12.49142857	10.4	18.79862724	14.5	0	500
0.828	0.762442511	12.50285714	10.4	18.81221256	14.5	0	500
0.832	0.765146196	12.51428571	10.4	18.82573098	14.5	0	500
0.836	0.767836456	12.52571429	10.4	18.83918228	14.5	0	500
0.84	0.770513243	12.53714286	10.4	18.85256621	14.5	0	500
0.844	0.773176511	12.54857143	10.4	18.86588255	14.5	0	500
0.848	0.775826212	12.56	10.4	18.87913106	14.5	0	500
0.852	0.778462302	12.57142857	10.4	18.89231151	14.5	0	500
0.856	0.781084732	12.58285714	10.4	18.90542366	14.5	0	500
0.86	0.783693457	12.59428571	10.4	18.91846729	14.5	0	500
0.864	0.786288432	12.60571429	10.4	18.93144216	14.5	0	500
0.868	0.788869611	12.61714286	10.4	18.94434805	14.5	0	500
0.872	0.791436948	12.62857143	10.4	18.95718474	14.5	0	500
0.876	0.793990399	12.64	10.4	18.96995199	14.5	0	500
0.88	0.796529918	12.65142857	10.4	18.98264959	14.5	0	500
0.884	0.799055462	12.66285714	10.4	18.99527731	14.5	0	500
0.888	0.801566985	12.67428571	10.4	19.00783492	14.5	0	500
0.892	0.804064444	12.68571429	10.4	19.02032222	14.5	0	500
0.896	0.806547795	12.69714286	10.4	19.03273897	14.5	0	500
0.9	0.809016994	12.70857143	10.4	19.04508497	14.5	0	500
0.904	0.811471999	12.72	10.4	19.05735999	14.5	0	500
0.908	0.813912765	12.73142857	10.4	19.06956383	14.5	0	500
0.912	0.816339251	12.74285714	10.4	19.08169625	14.5	0	500
0.916	0.818751413	12.75428571	10.4	19.09375706	14.5	0	500
0.92	0.821149209	12.76571429	10.4	19.10574605	14.5	0	500
0.924	0.823532598	12.77714286	10.4	19.11766299	14.5	0	500
0.928	0.825901536	12.78857143	10.4	19.12950768	14.5	0	500
0.932	0.828255984	12.8	10.4	19.14127992	14.5	0	500
0.936	0.830595899	12.81142857	10.4	19.1529795	14.5	0	500
0.94	0.832921241	12.82285714	10.4	19.1646062	14.5	0	500
0.944	0.835231968	12.83428571	10.4	19.17615984	14.5	0	500
0.948	0.83752804	12.84571429	10.4	19.1876402	14.5	0	500
0.952	0.839809417	12.85714286	10.4	19.19904709	14.5	0	500
