Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.652	0.63094666	12	10.4	23.1547333	19.5	0	300
0.656	0.634190889	12.01142857	10.4	23.17095444	19.5	0	300
0.66	0.63742399	12.02285714	10.4	23.18711995	19.5	0	300
0.664	0.640645907	12.03428571	10.4	23.20322953	19.5	0	300
0.668	0.643856583	12.04571429	10.4	23.21928291	19.5	0	300
0.672	0.647055962	12.05714286	10.4	23.23527981	19.5	0	300
0.676	0.650243987	12.06857143	10.4	23.25121994	19.5	0	300
0.68	0.653420604	12.08	10.4	23.26710302	19.5	0	300
0.684	0.656585756	12.09142857	10.4	23.28292878	19.5	0	300
0.688	0.659739387	12.10285714	10.4	23.29869694	19.5	0	300
0.692	0.662881443	12.11428571	10.4	23.31440721	19.5	0	300
0.696	0.666011867	12.12571429	10.4	23.33005934	19.5	0	300
0.7	0.669130606	12.13714286	10.4	23.34565303	19.5	0	300
0.704	0.672237605	12.14857143	10.4	23.36118802	19.5	0	300
0.708	0.675332808	12.16	10.4	23.37666404	19.5	0	300
0.712	0.678416162	12.17142857	10.4	23.39208081	19.5	0	300
0.716	0.681487613	12.18285714	10.4	23.40743806	19.5	0	300
0.72	0.684547106	12.19428571	10.4	23.42273553	19.5	0	300
0.724	0.687594588	12.20571429	10.4	23.43797294	19.5	0	300
0.728	0.690630006	12.21714286	10.4	23.45315003	19.5	0	300
0.732	0.693653306	12.22857143	10.4	23.46826653	19.5	0	300
0.736	0.696664435	12.24	10.4	23.48332217	19.5	0	300
0.74	0.699663341	12.25142857	10.4	23.4983167	19.5	0	300
0.744	0.70264997	12.26285714	10.4	23.51324985	19.5	0	300
0.748	0.70562427	12.27428571	10.4	23.52812135	19.5	0	300
0.752	0.70858619	12.28571429	10.4	23.54293095	19.5	0	300
0.756	0.711535677	12.29714286	10.4	23.55767839	19.5	0	300
0.76	0.71447268	12.30857143	10.4	23.5723634	19.5	0	300
0.764	0.717397146	12.32	10.4	23.58698573	19.5	0	300
0.768	0.720309025	12.33142857	10.4	23.60154512	19.5	0	300
0.772	0.723208265	12.34285714	10.4	23.61604133	19.5	0	300
0.776	0.726094816	12.35428571	10.4	23.63047408	19.5	0	300
0.78	0.728968627	12.36571429	10.4	23.64484314	19.5	0	300
0.784	0.731829648	12.37714286	10.4	23.65914824	19.5	0	300
0.788	0.734677828	12.38857143	10.4	23.67338914	19.5	0	300
0.792	0.737513117	12.4	10.4	23.68756559	19.5	0	300
0.796	0.740335466	12.41142857	10.4	23.70167733	19.5	0	300
0.8	0.743144825	12.42285714	10.4	23.71572413	19.5	0	300
0.804	0.745941145	12.43428571	10.4	23.72970573	19.5	0	300
0.808	0.748724377	12.44571429	10.4	23.74362189	19.5	0	300
0.812	0.751494472	12.45714286	10.4	23.75747236	19.5	0	300
0.816	0.754251381	12.46857143	10.4	23.7712569	19.5	0	300
0.82	0.756995056	12.48	10.4	23.78497528	19.5	0	300
0.824	0.759725448	12.49142857	10.4	23.79862724	19.5	0	300
0.828	0.762442511	12.50285714	10.4	23.81221256	19.5	0	300
0.832	0.765146196	12.51428571	10.4	23.82573098	19.5	0	300
0.836	0.767836456	12.52571429	10.4	23.83918228	19.5	0	300
0.84	0.770513243	12.53714286	10.4	23.85256621	19.5	0	300
0.844	0.773176511	12.54857143	10.4	23.86588255	19.5	0	300
0.848	0.775826212	12.56	10.4	23.87913106	19.5	0	300
0.852	0.778462302	12.57142857	10.4	23.89231151	19.5	0	300
0.856	0.781084732	12.58285714	10.4	23.90542366	19.5	0	300
0.86	0.783693457	12.59428571	10.4	23.91846729	19.5	0	300
0.864	0.786288432	12.60571429	10.4	23.93144216	19.5	0	300
0.868	0.788869611	12.61714286	10.4	23.94434805	19.5	0	300
